hour,socializing_index_60min,hour_total_social,hour_total_ped,date
18,0,0,4,7/19/2024
19,0,0,4,7/19/2024
20,0,0,5,7/19/2024
21,0,0,3,7/19/2024
22,0,0,1,7/19/2024
23,0,0,0,7/19/2024
6,0,0,0,7/20/2024
7,0,0,3,7/20/2024
8,0,0,1,7/20/2024
9,0,0,2,7/20/2024
10,0,0,1,7/20/2024
11,0,0,0,7/20/2024
12,0,0,0,7/20/2024
13,0,0,1,7/20/2024
14,0,0,3,7/20/2024
15,0,0,3,7/20/2024
16,0,0,3,7/20/2024
17,0,0,6,7/20/2024
18,0,0,3,7/20/2024
19,0,0,0,7/20/2024
20,0,0,1,7/20/2024
21,0,0,0,7/20/2024
22,0,0,0,7/20/2024
23,0,0,0,7/20/2024
6,0,0,1,7/21/2024
7,0,0,0,7/21/2024
8,0,0,0,7/21/2024
9,0,0,1,7/21/2024
10,0,0,0,7/21/2024
11,0,0,4,7/21/2024
12,0,0,2,7/21/2024
13,0,0,4,7/21/2024
14,0,0,4,7/21/2024
15,0,0,3,7/21/2024
16,0,0,3,7/21/2024
17,0,0,5,7/21/2024
18,0,0,1,7/21/2024
19,0,0,1,7/21/2024
20,0,0,1,7/21/2024
21,0,0,0,7/21/2024
22,0,0,0,7/21/2024
23,0,0,0,7/21/2024
6,0,0,0,7/22/2024
7,0,0,1,7/22/2024
8,0,0,1,7/22/2024
9,0,0,1,7/22/2024
10,0,0,0,7/22/2024
11,0,0,3,7/22/2024
12,0,0,4,7/22/2024
13,0,0,5,7/22/2024
14,0,0,10,7/22/2024
15,0,0,4,7/22/2024
16,0,0,2,7/22/2024
17,0,0,7,7/22/2024
18,0,0,2,7/22/2024
19,0,0,5,7/22/2024
20,0,0,1,7/22/2024
21,0,0,1,7/22/2024
22,0,0,2,7/22/2024
23,0,0,1,7/22/2024
6,0,0,0,7/23/2024
7,0,0,0,7/23/2024
8,0,0,1,7/23/2024
9,0,0,4,7/23/2024
10,0,0,4,7/23/2024
11,0,0,5,7/23/2024
12,0,0,7,7/23/2024
13,0,0,6,7/23/2024
14,0,0,3,7/23/2024
15,0,0,7,7/23/2024
16,0,0,9,7/23/2024
17,0,0,10,7/23/2024
18,0,0,2,7/23/2024
19,0,0,2,7/23/2024
20,0,0,1,7/23/2024
21,0,0,0,7/23/2024
22,0,0,1,7/23/2024
23,0,0,0,7/23/2024
6,0,0,0,7/24/2024
7,0,0,0,7/24/2024
8,0,0,0,7/24/2024
9,0,0,0,7/24/2024
10,0,0,0,7/24/2024
11,0,0,9,7/24/2024
12,0,0,4,7/24/2024
13,0,0,13,7/24/2024
14,47.05882352941176,8,17,7/24/2024
15,38.46153846153847,5,13,7/24/2024
16,47.368421052631575,9,19,7/24/2024
17,33.33333333333333,9,27,7/24/2024
18,0,0,2,7/24/2024
19,0,0,3,7/24/2024
20,0,0,8,7/24/2024
21,0,0,4,7/24/2024
22,0,0,6,7/24/2024
23,0,0,5,7/24/2024
6,0,0,0,7/25/2024
7,0,0,1,7/25/2024
8,0,0,3,7/25/2024
9,73.68421052631578,14,19,7/25/2024
10,40,6,15,7/25/2024
11,26.31578947368421,5,19,7/25/2024
12,0,0,6,7/25/2024
13,19.230769230769237,5,26,7/25/2024
14,0,0,4,7/25/2024
15,0,0,12,7/25/2024
16,0,0,5,7/25/2024
17,0,0,3,7/25/2024
18,0,0,3,7/25/2024
19,0,0,2,7/25/2024
20,0,0,0,7/25/2024
21,0,0,0,7/25/2024
22,0,0,2,7/25/2024
23,0,0,0,7/25/2024
6,0,0,1,7/26/2024
7,0,0,0,7/26/2024
8,0,0,6,7/26/2024
9,0,0,5,7/26/2024
10,0,0,5,7/26/2024
11,0,0,9,7/26/2024
12,0,0,14,7/26/2024
13,0,0,8,7/26/2024
14,0,0,15,7/26/2024
15,0,0,8,7/26/2024
16,0,0,12,7/26/2024
17,0,0,4,7/26/2024
18,0,0,9,7/26/2024
19,0,0,3,7/26/2024
20,0,0,2,7/26/2024
21,0,0,1,7/26/2024
22,0,0,1,7/26/2024
23,0,0,1,7/26/2024
6,0,0,0,7/27/2024
7,0,0,0,7/27/2024
8,0,0,0,7/27/2024
9,0,0,0,7/27/2024
10,0,0,0,7/27/2024
11,0,0,0,7/27/2024
12,0,0,1,7/27/2024
13,0,0,2,7/27/2024
14,0,0,2,7/27/2024
15,0,0,0,7/27/2024
16,0,0,3,7/27/2024
17,0,0,6,7/27/2024
18,0,0,0,7/27/2024
19,0,0,4,7/27/2024
20,0,0,3,7/27/2024
21,0,0,0,7/27/2024
22,0,0,2,7/27/2024
23,0,0,1,7/27/2024
6,0,0,1,7/28/2024
7,0,0,1,7/28/2024
8,0,0,0,7/28/2024
9,0,0,2,7/28/2024
10,0,0,0,7/28/2024
11,0,0,0,7/28/2024
12,0,0,16,7/28/2024
13,0,0,10,7/28/2024
14,0,0,10,7/28/2024
15,0,0,6,7/28/2024
16,0,0,3,7/28/2024
17,0,0,1,7/28/2024
18,0,0,1,7/28/2024
19,0,0,1,7/28/2024
20,0,0,5,7/28/2024
21,0,0,1,7/28/2024
22,0,0,1,7/28/2024
23,0,0,0,7/28/2024
6,0,0,1,7/29/2024
7,0,0,1,7/29/2024
8,0,0,1,7/29/2024
9,60,6,10,7/29/2024
10,0,0,3,7/29/2024
11,0,0,3,7/29/2024
12,0,0,5,7/29/2024
13,0,0,7,7/29/2024
14,0,0,6,7/29/2024
15,0,0,5,7/29/2024
16,0,0,2,7/29/2024
17,0,0,6,7/29/2024
18,0,0,1,7/29/2024
19,0,0,0,7/29/2024
20,0,0,0,7/29/2024
21,0,0,1,7/29/2024
22,0,0,1,7/29/2024
23,0,0,1,7/29/2024
6,0,0,0,7/30/2024
7,0,0,1,7/30/2024
8,0,0,3,7/30/2024
9,0,0,5,7/30/2024
10,0,0,5,7/30/2024
11,0,0,7,7/30/2024
12,0,0,7,7/30/2024
13,0,0,4,7/30/2024
14,0,0,2,7/30/2024
15,0,0,9,7/30/2024
16,0,0,5,7/30/2024
17,0,0,2,7/30/2024
18,0,0,0,7/30/2024
19,0,0,1,7/30/2024
20,0,0,1,7/30/2024
21,0,0,1,7/30/2024
22,0,0,0,7/30/2024
23,0,0,0,7/30/2024
6,0,0,0,7/31/2024
